class,teachers,websites
MFM2P,"['Mr. Albrecht', 'Mr. Czudner']",['https://sites.google.com/a/ocdsb.ca/mczudner/']
MPM2D,"['Mr. Albrecht', 'Mr. Eisner', 'Mr. Mikkelborg']",['https://sites.google.com/a/ocdsb.ca/ian-s-practice/']
MCR3U,"['Mr. Albrecht', 'Mr. Pinhey', 'Mr. Somers', 'Ms. Walker']","['http://pinheymath.pbworks.com/w/page/97649786/FrontPage', 'https://sites.google.com/a/ocdsb.ca/mr-somers-ldhss-math/', 'https://sites.google.com/a/ocdsb.ca/jmss_walker/']"
HPAMATH,['Mr. Czudner'],['https://sites.google.com/a/ocdsb.ca/mczudner/']
MPM1D,"['Mr. Eisner', 'Ms. Evermann', 'Ms. Mackenzie', 'Mr. MacPherson', 'Mr. Somers']","['https://sites.google.com/a/ocdsb.ca/ian-s-practice/', 'https://sites.google.com/ocdsb.ca/miss-evermanns-classes/', 'https://sites.google.com/a/ocdsb.ca/jmss-macpherson', 'https://sites.google.com/a/ocdsb.ca/mr-somers-ldhss-math/']"
MBF3C,['Ms. Evermann'],['https://sites.google.com/ocdsb.ca/miss-evermanns-classes/']
MHF4U,"['Mr. Mooder', 'Mr. Pinhey', 'Ms. Walker']","['https://sites.google.com/a/ocdsb.ca/jmss_mooder/', 'http://pinheymath.pbworks.com/w/page/97649786/FrontPage', 'https://sites.google.com/a/ocdsb.ca/jmss_walker/']"
MAP4C,['Mr. Mooder'],['https://sites.google.com/a/ocdsb.ca/jmss_mooder/']
MDM4U,['Mr. Roberts'],[]
MEL3E,['Mr. Roberts'],[]
MCF3M,['Mr. Roberts'],[]
MAT1L,['Mr. Somers'],['https://sites.google.com/a/ocdsb.ca/mr-somers-ldhss-math/']
MHF4UR,['Ms. Walker'],['https://sites.google.com/a/ocdsb.ca/jmss_walker/']
